PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,7:29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-8
Markieff Morris,9:05,2,3,.667,0,1,.000,5,6,.833,0,0,0,1,0,0,0,2,9,-9
Bruce Brown,7:43,2,2,1.000,1,1,1.000,6,6,1.000,0,1,1,0,0,0,0,0,11,-11
Tony Snell,2:55,0,1,.000,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,0,0,0
Thon Maker,5:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Langston Galloway,7:56,0,1,.000,0,1,.000,0,0,0.0,0,1,1,1,0,0,1,0,0,-2
Derrick Rose,9:10,3,6,.500,0,2,.000,0,0,0.0,0,0,0,1,1,0,0,0,6,-8
Christian Wood,6:11,1,1,1.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,-6
Sviatoslav Mykhailiuk,3:42,0,2,.000,0,2,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,+2
Team Totals,240,41,86,.477,13,39,.333,24,34,.706,12,24,36,29,6,4,14,19,119,0
Bradley Beal,7:43,4,5,.800,1,2,.500,2,2,1.000,0,0,0,2,0,0,0,0,11,+11
Isaiah Thomas,5:45,4,4,1.000,3,3,1.000,0,0,0.0,0,1,1,2,0,0,1,1,11,+12
Ian Mahinmi,4:56,0,0,0.0,0,0,0.0,0,2,.000,0,1,1,0,0,0,0,3,0,+9
Isaac Bonga,4:17,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,-2
Rui Hachimura,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
DÄvis BertÄns,8:18,2,2,1.000,1,1,1.000,2,3,.667,0,1,1,1,0,0,0,0,7,+11
Troy Brown,12:00,1,2,.500,0,1,.000,0,0,0.0,0,3,3,1,0,0,0,2,2,+9
Ish Smith,5:40,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,2,-3
Admiral Schofield,7:04,2,4,.500,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,1,4,0
Garrison Mathews,4:17,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,49,88,.557,18,34,.529,17,21,.810,7,28,35,31,6,5,15,27,133,0
Kyle Lowry,8:52,2,4,.500,0,2,.000,3,5,.600,0,0,0,2,0,0,0,1,7,0
Pascal Siakam,4:50,3,4,.750,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,6,0
Norman Powell,4:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0
OG Anunoby,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Marc Gasol,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Patrick McCaw,8:26,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-2
Serge Ibaka,10:08,2,3,.667,0,0,0.0,2,3,.667,1,4,5,0,0,1,1,1,6,-2
Terence Davis,12:00,1,3,.333,1,2,.500,2,2,1.000,0,2,2,1,0,0,0,0,5,0
Chris Boucher,7:10,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,1,0,0,0,3,5,0
Dewan Hernandez,1:52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,+2
Malcolm Miller,1:52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,52,89,.584,16,32,.500,13,17,.765,6,35,41,31,7,2,7,19,133,0
Darius Garland,12:00,6,7,.857,3,4,.750,0,0,0.0,0,0,0,0,1,0,0,0,15,0
Tristan Thompson,5:25,1,3,.333,0,0,0.0,0,2,.000,0,0,0,0,0,0,0,0,2,-6
Collin Sexton,6:43,1,3,.333,0,0,0.0,2,2,1.000,1,0,1,0,0,0,0,0,4,-4
Kevin Love,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Cedi Osman,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kevin Porter,12:00,1,3,.333,0,1,.000,0,0,0.0,0,1,1,4,0,0,0,1,2,0
Larry Nance,12:00,1,3,.333,0,2,.000,0,0,0.0,0,2,2,2,0,0,1,1,2,0
Jordan Clarkson,5:17,0,0,0.0,0,0,0.0,2,2,1.000,0,0,0,0,1,0,0,1,2,+4
John Henson,6:35,1,2,.500,0,1,.000,0,0,0.0,0,3,3,1,2,0,0,5,2,+6
Matthew Dellavedova,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,44,90,.489,12,35,.343,13,17,.765,9,30,39,30,6,1,10,15,113,0
Russell Westbrook,9:10,0,2,.000,0,1,.000,0,0,0.0,0,4,4,2,0,1,1,0,0,+4
Clint Capela,12:00,2,2,1.000,0,0,0.0,1,2,.500,0,5,5,2,0,2,1,0,5,+8
P.J. Tucker,12:00,2,2,1.000,1,1,1.000,0,0,0.0,0,3,3,0,1,0,0,2,5,+8
James Harden,8:58,2,6,.333,1,3,.333,2,2,1.000,0,1,1,2,0,0,0,2,7,+9
Danuel House,7:39,2,5,.400,0,2,.000,0,0,0.0,2,1,3,1,0,0,0,1,4,+5
Ben McLemore,9:16,2,4,.500,1,3,.333,0,0,0.0,0,0,0,0,0,0,0,0,5,+6
Gary Clark,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Austin Rivers,0:57,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Thabo Sefolosha,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,40,98,.408,11,43,.256,18,27,.667,14,44,58,20,9,6,12,19,109,0
LaMarcus Aldridge,12:00,1,3,.333,0,1,.000,2,2,1.000,2,3,5,2,0,1,0,0,4,-8
DeMar DeRozan,7:14,3,4,.750,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,6,-10
Dejounte Murray,6:41,0,3,.000,0,1,.000,0,0,0.0,1,0,1,0,0,0,1,2,0,-8
Bryn Forbes,12:00,0,5,.000,0,3,.000,0,0,0.0,0,1,1,0,0,0,1,0,0,-8
Trey Lyles,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Derrick White,9:59,2,6,.333,1,2,.500,1,2,.500,1,1,2,0,0,0,0,0,6,+1
Rudy Gay,4:44,1,1,1.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2,+2
Patty Mills,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jakob PÃ¶ltl,0:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Lonnie Walker,2:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3
Marco Belinelli,5:02,0,2,.000,0,2,.000,0,0,0.0,0,2,2,1,0,0,0,0,0,-6
Team Totals,240,39,91,.429,12,33,.364,17,20,.850,8,45,53,23,5,4,18,22,107,0
Jaren Jackson,8:08,1,4,.250,1,4,.250,0,0,0.0,0,0,0,0,0,0,1,1,3,-2
Jae Crowder,9:11,2,5,.400,0,2,.000,0,0,0.0,2,2,4,1,0,0,1,1,4,-2
Ja Morant,9:11,2,4,.500,0,1,.000,0,0,0.0,0,1,1,1,0,0,3,1,4,-2
Jonas ValanÄiÅ«nas,3:52,1,1,1.000,0,0,0.0,2,2,1.000,1,1,2,0,0,0,0,0,4,0
Dillon Brooks,5:13,1,3,.333,0,1,.000,0,0,0.0,1,1,2,0,0,1,0,2,2,-5
Brandon Clarke,9:11,1,3,.333,0,1,.000,0,0,0.0,1,3,4,0,0,1,0,0,2,-2
De'Anthony Melton,6:47,0,2,.000,0,0,0.0,1,2,.500,3,2,5,1,0,0,3,1,1,+3
Tyus Jones,2:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
Kyle Anderson,2:49,1,1,1.000,0,0,0.0,1,2,.500,0,0,0,0,0,0,0,0,3,0
Solomon Hill,2:49,0,3,.000,0,2,.000,0,0,0.0,0,0,0,1,0,0,0,0,0,0
Team Totals,240,42,86,.488,13,36,.361,21,30,.700,16,29,45,28,4,6,15,20,118,0
Bam Adebayo,12:00,1,1,1.000,0,0,0.0,0,0,0.0,0,2,2,1,2,3,3,3,2,+2
Jimmy Butler,8:42,4,6,.667,1,1,1.000,2,3,.667,0,0,0,1,0,0,1,0,11,+4
Kendrick Nunn,3:38,1,4,.250,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,1,2,-5
Duncan Robinson,1:54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,+2
Meyers Leonard,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Tyler Herro,12:00,1,8,.125,1,3,.333,2,2,1.000,1,3,4,1,1,0,0,0,5,+2
Derrick Jones,11:49,2,2,1.000,0,0,0.0,1,2,.500,0,0,0,0,4,0,0,2,5,0
Kelly Olynyk,9:57,0,1,.000,0,1,.000,0,0,0.0,0,2,2,1,0,1,0,0,0,+5
Chris Silva,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,37,81,.457,11,24,.458,26,31,.839,7,28,35,22,9,7,14,26,111,0
Giannis Antetokounmpo,7:54,5,8,.625,0,2,.000,4,6,.667,1,2,3,2,0,0,1,2,14,-2
Donte DiVincenzo,9:25,1,1,1.000,0,0,0.0,1,2,.500,2,1,3,3,2,0,1,3,3,+8
Khris Middleton,6:30,0,2,.000,0,1,.000,0,0,0.0,1,0,1,0,0,1,1,1,0,-1
Wesley Matthews,4:20,0,2,.000,0,2,.000,0,0,0.0,0,1,1,0,1,0,0,2,0,-7
Brook Lopez,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kyle Korver,11:55,2,3,.667,2,3,.667,0,0,0.0,0,1,1,0,0,0,0,2,6,+9
George Hill,6:57,2,3,.667,0,1,.000,2,2,1.000,0,0,0,2,1,0,0,1,6,+8
Sterling Brown,6:53,0,2,.000,0,1,.000,0,0,0.0,1,1,2,2,0,0,0,0,0,+9
Ersan Ä°lyasova,6:06,4,6,.667,1,2,.500,2,3,.667,0,2,2,1,0,0,1,0,11,+6
Pat Connaughton,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Robin Lopez,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,44,105,.419,11,41,.268,17,24,.708,15,37,52,29,8,4,8,23,116,0
Dorian Finney-Smith,12:00,2,4,.500,0,1,.000,0,1,.000,1,1,2,0,0,0,0,2,4,-6
Kristaps PorziÅ†Ä£is,8:04,2,5,.400,2,3,.667,3,3,1.000,1,3,4,1,0,1,1,1,9,+7
Jalen Brunson,8:37,0,3,.000,0,0,0.0,2,2,1.000,0,2,2,4,0,0,1,2,2,-6
Tim Hardaway,2:12,0,0,0.0,0,0,0.0,4,6,.667,0,0,0,0,0,0,1,0,4,-5
Dwight Powell,2:14,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0
Maxi Kleber,7:35,1,2,.500,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,2,2,+1
Seth Curry,9:56,3,4,.750,1,2,.500,0,0,0.0,0,1,1,1,0,0,3,1,7,-1
Delon Wright,6:25,2,2,1.000,0,0,0.0,2,2,1.000,0,0,0,0,3,0,0,0,6,-11
Justin Jackson,2:57,0,0,0.0,0,0,0.0,0,2,.000,0,0,0,0,0,0,0,0,0,-9
Courtney Lee,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Boban MarjanoviÄ‡,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,41,88,.466,16,41,.390,22,27,.815,8,44,52,27,5,6,14,23,120,0
Chris Paul,12:00,5,7,.714,5,6,.833,4,4,1.000,1,4,5,2,1,0,1,2,19,+11
Shai Gilgeous-Alexander,6:31,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,0,2,+8
Danilo Gallinari,8:03,1,5,.200,1,4,.250,0,0,0.0,1,0,1,0,1,0,0,0,3,+7
Terrance Ferguson,7:03,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,2,0,+6
Steven Adams,8:22,0,1,.000,0,0,0.0,1,2,.500,3,1,4,0,0,1,0,0,1,+7
Dennis SchrÃ¶der,6:29,0,2,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,0,0,+4
Nerlens Noel,3:38,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,0,2,+4
Darius Bazley,3:57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,+4
Abdel Nader,3:57,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,1,0,0,0,+4
Team Totals,240,35,69,.507,16,34,.471,23,28,.821,9,33,42,21,8,6,26,15,109,0
Wendell Carter,11:57,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,2,2,2,0,-9
Lauri Markkanen,8:44,1,2,.500,0,1,.000,0,0,0.0,0,0,0,0,0,1,0,0,2,-9
Zach LaVine,8:22,3,7,.429,0,4,.000,4,4,1.000,0,0,0,0,0,0,2,0,10,-7
TomÃ¡Å¡ SatoranskÃ½,12:00,1,2,.500,0,1,.000,0,0,0.0,0,1,1,1,0,1,1,0,2,-11
Kris Dunn,8:22,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-7
Thaddeus Young,3:16,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,2,0,0,1,0,-2
Coby White,3:41,0,2,.000,0,1,.000,0,0,0.0,0,0,0,0,0,1,0,1,0,-6
Denzel Valentine,3:38,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,-4
Ryan Arcidiacono,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Daniel Gafford,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,43,87,.494,9,31,.290,11,13,.846,5,26,31,27,17,6,13,21,106,0
Kelly Oubre,12:00,3,10,.300,2,3,.667,1,1,1.000,0,0,0,0,3,0,1,0,9,+1
Ricky Rubio,8:57,0,4,.000,0,2,.000,0,0,0.0,3,3,6,4,1,0,1,0,0,+2
Dario Å ariÄ‡,6:46,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,1,1,0,-5
Mikal Bridges,7:45,0,1,.000,0,0,0.0,2,2,1.000,1,0,1,0,1,0,0,0,2,-1
Frank Kaminsky,7:12,1,3,.333,1,2,.500,0,0,0.0,0,3,3,1,0,0,1,0,3,-5
Cameron Johnson,9:29,2,3,.667,1,2,.500,0,1,.000,0,2,2,1,0,0,0,0,5,+8
Aron Baynes,4:48,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,1,0,2,1,2,3,+6
Jevon Carter,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Elie Okobo,3:03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,41,90,.456,12,34,.353,16,19,.842,11,33,44,31,11,5,20,21,110,0
CJ McCollum,12:00,0,3,.000,0,1,.000,2,2,1.000,1,4,5,2,0,0,2,0,2,-1
Damian Lillard,8:42,2,6,.333,0,1,.000,1,1,1.000,0,1,1,0,0,0,1,0,5,+3
Carmelo Anthony,12:00,4,7,.571,2,4,.500,0,0,0.0,1,2,3,0,1,1,0,2,10,-1
Hassan Whiteside,6:39,1,1,1.000,0,0,0.0,0,0,0.0,2,2,4,0,0,2,2,1,2,-2
Kent Bazemore,6:39,0,2,.000,0,2,.000,0,0,0.0,0,0,0,1,1,0,0,1,0,-2
Anfernee Simons,5:21,0,2,.000,0,1,.000,0,0,0.0,0,0,0,1,0,0,1,3,0,+1
Anthony Tolliver,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Skal LabissiÃ¨re,5:21,1,1,1.000,0,0,0.0,0,0,0.0,1,1,2,2,0,1,0,0,2,+1
Gary Trent,3:18,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4
Mario Hezonja,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,40,84,.476,14,34,.412,17,20,.850,9,32,41,21,9,9,20,27,111,0
Devonte' Graham,8:35,2,4,.500,2,3,.667,0,0,0.0,0,0,0,1,0,0,0,0,6,+2
Terry Rozier,9:21,1,6,.167,1,3,.333,0,0,0.0,2,1,3,2,1,0,1,1,3,+6
Cody Zeller,6:41,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,+4
Bismack Biyombo,4:24,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,2,+7
Miles Bridges,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Malik Monk,12:00,5,5,1.000,2,2,1.000,2,2,1.000,1,4,5,2,0,0,0,1,14,+7
Marvin Williams,5:26,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,-5
Cody Martin,6:14,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,3,0,+4
Michael Kidd-Gilchrist,7:19,1,2,.500,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,0,3,+10
Team Totals,240,39,81,.481,13,30,.433,19,27,.704,16,35,51,26,5,8,16,18,110,0
Harrison Barnes,12:00,1,4,.250,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,1,2,-7
Nemanja Bjelica,6:05,0,0,0.0,0,0,0.0,2,2,1.000,0,1,1,0,1,0,0,0,2,+2
Buddy Hield,6:05,3,5,.600,2,3,.667,0,0,0.0,0,0,0,0,0,0,0,0,8,+2
Richaun Holmes,1:54,0,3,.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,1,0,-3
Cory Joseph,5:55,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,0,0,-9
De'Aaron Fox,8:35,1,1,1.000,0,0,0.0,2,2,1.000,0,0,0,0,0,0,1,1,4,-2
Bogdan BogdanoviÄ‡,10:06,1,2,.500,0,1,.000,0,0,0.0,0,0,0,2,0,0,0,0,2,-4
Marvin Bagley,5:55,1,3,.333,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,1,2,-9
Trevor Ariza,3:25,1,2,.500,1,2,.500,0,0,0.0,0,2,2,0,0,0,0,0,3,-5
Team Totals,240,38,91,.418,14,39,.359,12,13,.923,10,23,33,23,10,5,10,22,102,0
Domantas Sabonis,9:19,2,2,1.000,0,0,0.0,1,2,.500,0,3,3,1,0,0,0,2,5,+3
Malcolm Brogdon,8:03,3,5,.600,1,2,.500,0,0,0.0,0,1,1,0,0,0,0,1,7,-2
T.J. Warren,6:43,1,3,.333,0,0,0.0,2,2,1.000,1,0,1,0,0,0,0,0,4,+2
Myles Turner,6:04,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,1,0,0,1,2,+3
Jeremy Lamb,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Aaron Holiday,9:15,1,3,.333,1,2,.500,0,0,0.0,0,0,0,1,0,0,1,0,3,-1
Justin Holiday,9:06,0,1,.000,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,2,0,+6
T.J. McConnell,5:45,1,2,.500,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-3
Doug McDermott,5:45,1,2,.500,1,1,1.000,1,2,.500,1,1,2,1,0,0,0,2,4,-3
Team Totals,240,41,85,.482,10,25,.400,13,20,.650,13,30,43,22,9,6,12,21,105,0
LeBron James,10:47,2,6,.333,0,4,.000,3,6,.500,0,1,1,2,0,0,0,1,7,-4
Danny Green,5:46,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,0,0,0,1,2,3,+6
Kentavious Caldwell-Pope,5:26,0,1,.000,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,+2
JaVale McGee,2:44,1,2,.500,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,+4
Jared Dudley,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Dwight Howard,9:15,3,3,1.000,0,0,0.0,0,3,.000,2,3,5,0,0,1,0,2,6,-4
Rajon Rondo,10:40,0,5,.000,0,3,.000,0,0,0.0,1,1,2,3,0,0,0,0,0,-5
Alex Caruso,9:40,2,3,.667,1,2,.500,1,1,1.000,0,2,2,1,0,0,0,0,6,+3
Avery Bradley,3:57,1,3,.333,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,2,-3
Troy Daniels,1:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Team Totals,240,43,91,.473,8,31,.258,8,17,.471,14,28,42,28,5,6,13,19,102,0
RJ Barrett,4:39,1,1,1.000,0,0,0.0,2,2,1.000,0,0,0,0,0,0,0,0,4,0
Julius Randle,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Marcus Morris,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Taj Gibson,4:03,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,1,0,-1
Frank Ntilikina,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Mitchell Robinson,7:57,6,8,.750,0,0,0.0,0,0,0.0,3,1,4,0,0,1,0,1,12,-1
Damyean Dotson,12:00,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,2,-2
Kevin Knox,12:00,4,7,.571,1,3,.333,0,0,0.0,0,1,1,2,1,1,0,2,9,-2
Bobby Portis,7:21,2,2,1.000,2,2,1.000,1,2,.500,1,2,3,0,0,0,0,0,7,-2
Elfrid Payton,7:57,0,2,.000,0,0,0.0,0,0,0.0,0,0,0,5,0,0,0,1,0,-1
Dennis Smith,4:03,0,1,.000,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,0,0,-1
Team Totals,240,53,95,.558,13,28,.464,24,31,.774,13,42,55,30,7,6,11,21,143,0
Trae Young,12:00,5,7,.714,3,4,.750,2,2,1.000,0,2,2,3,0,0,1,1,15,+2
Kevin Huerter,7:57,1,2,.500,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,2,+1
De'Andre Hunter,12:00,6,9,.667,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,2,14,+2
Jabari Parker,3:20,1,2,.500,0,1,.000,2,2,1.000,1,0,1,0,1,0,0,0,4,-1
Damian Jones,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Cam Reddish,8:40,0,2,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,0,+3
Alex Len,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Vince Carter,4:28,0,0,0.0,0,0,0.0,1,3,.333,0,0,0,0,0,0,0,0,1,+2
DeAndre' Bembry,4:03,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,+1
Allen Crabbe,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Bruno Fernando,7:32,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0
Team Totals,240,45,99,.455,15,43,.349,15,20,.750,9,27,36,20,7,3,10,21,120,0
Brandon Ingram,7:21,2,4,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,6,-3
Jrue Holiday,10:18,4,12,.333,0,2,.000,1,1,1.000,1,1,2,1,1,0,0,1,9,+2
Lonzo Ball,4:40,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,1,0,0,0,0,3,+3
Kenrich Williams,6:21,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-5
Derrick Favors,6:22,3,4,.750,0,0,0.0,1,2,.500,3,0,3,0,0,0,1,0,7,-6
Josh Hart,12:00,0,2,.000,0,1,.000,0,0,0.0,0,1,1,0,1,0,0,0,0,-3
Jaxson Hayes,5:38,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,+3
Nickeil Alexander-Walker,7:20,2,2,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,-6
NicolÃ² Melli,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,265,37,107,.346,11,40,.275,16,24,.667,16,42,58,20,3,9,8,19,101,0
Garrett Temple,12:00,1,2,.500,0,0,0.0,0,1,.000,0,1,1,2,0,0,1,0,2,+3
Spencer Dinwiddie,8:50,4,8,.500,0,2,.000,0,0,0.0,0,1,1,2,0,0,1,1,8,+6
Joe Harris,8:50,3,3,1.000,2,2,1.000,0,0,0.0,0,0,0,3,0,0,0,0,8,+6
Taurean Waller-Prince,8:50,1,1,1.000,1,1,1.000,0,0,0.0,0,1,1,0,0,0,0,0,3,+6
Jarrett Allen,8:50,3,3,1.000,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,4,6,+6
DeAndre Jordan,3:10,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,-3
David Nwaba,3:10,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,1,3,-3
Wilson Chandler,3:10,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-3
TimothÃ© Luwawu-Cabarrot,3:10,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Theo Pinson,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,265,40,96,.417,11,39,.282,17,23,.739,6,48,54,25,3,10,11,22,108,0
Rudy Gobert,10:28,0,1,.000,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,0,0,+2
Bojan BogdanoviÄ‡,10:28,4,7,.571,2,4,.500,2,2,1.000,0,1,1,2,1,0,0,0,12,+2
Joe Ingles,10:27,0,1,.000,0,0,0.0,2,2,1.000,2,2,4,0,0,0,1,0,2,-4
Donovan Mitchell,8:26,5,9,.556,0,2,.000,0,0,0.0,0,1,1,1,0,0,0,3,10,+10
Mike Conley,1:32,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6
Royce O'Neale,12:00,1,3,.333,1,3,.333,0,0,0.0,0,2,2,1,1,0,1,1,3,-4
Jeff Green,1:32,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
Emmanuel Mudiay,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Ed Davis,1:32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
