PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Austin Rivers,10:27,2,2,1.000,2,2,1.000,0,0,0.0,0,1,1,2,0,0,0,0,6,-7
Ben McLemore,1:17,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-7
Thabo Sefolosha,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,45,98,.459,21,45,.467,17,20,.850,7,30,37,25,11,5,6,20,128,0
Kristaps PorziÅ†Ä£is,6:09,4,6,.667,0,1,.000,1,1,1.000,1,2,3,0,0,0,1,1,9,-1
Dorian Finney-Smith,9:04,0,1,.000,0,1,.000,0,0,0.0,1,2,3,1,0,0,0,2,0,+2
Tim Hardaway,7:36,1,2,.500,1,2,.500,1,1,1.000,0,0,0,1,0,0,1,0,4,0
J.J. Barea,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Ryan Broekhoff,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Delon Wright,8:50,2,4,.500,1,1,1.000,0,0,0.0,0,2,2,1,0,0,1,0,5,+10
Seth Curry,9:22,5,7,.714,2,4,.500,0,0,0.0,0,1,1,3,0,0,0,1,12,+7
Jalen Brunson,10:12,2,3,.667,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,0,4,+10
Maxi Kleber,2:56,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,+7
Willie Cauley-Stein,5:51,1,1,1.000,0,0,0.0,0,0,0.0,1,2,3,2,0,1,1,2,2,+10
Justin Jackson,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,43,90,.478,14,36,.389,21,27,.778,14,38,52,29,2,9,17,18,121,0
Lonzo Ball,6:09,2,3,.667,2,3,.667,0,0,0.0,1,0,1,2,1,0,1,0,6,+5
Zion Williamson,5:35,4,7,.571,0,0,0.0,2,2,1.000,3,1,4,0,0,0,0,0,10,+3
Jrue Holiday,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Brandon Ingram,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Derrick Favors,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Josh Hart,12:00,2,4,.500,1,3,.333,1,1,1.000,2,4,6,0,0,0,1,3,6,+4
E'Twaun Moore,7:41,2,6,.333,0,1,.000,0,0,0.0,0,0,0,2,0,0,0,1,4,+4
NicolÃ² Melli,12:00,1,2,.500,1,2,.500,0,0,0.0,0,3,3,2,0,0,0,2,3,+4
J.J. Redick,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jaxson Hayes,4:19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Frank Jackson,6:25,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,+1
Nickeil Alexander-Walker,5:51,0,3,.000,0,1,.000,0,0,0.0,0,1,1,1,1,0,3,0,0,-1
Team Totals,240,51,95,.537,15,34,.441,22,26,.846,16,41,57,30,8,4,19,22,139,0
Jae Crowder,3:14,1,1,1.000,0,0,0.0,2,2,1.000,0,0,0,0,0,0,0,0,4,-1
